filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2012 Gurijala 10.1109/TVCG.2012.210 c 3.png,bio522.png,I851,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio522.png,1,42,29,19,214,I851,0.5915,0.0815,bio522.png,1.626457761,2,851,10,69,2.9781,4.8483,9.4986,105,105
2011 Rieder 10.1109/TVCG.2011.207 c 4.png,bio482.png,I841,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio482.png,1,29,41,8,233,I841,0.4143,0.0332,bio482.png,1.619216306,2,841,8,61,3.273,6.3595,5.5364,95,95
2008 Correa 10.1109/TVCG.2008.162 c 6.png,bio30.png,I754,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio30.png,1,40,42,12,229,I754,0.4878,0.0498,bio30.png,1.616210288,3,754,3,61,4.2456,4.6469,6.5704,8,8
2013 Köhler 10.1109/TVCG.2013.189 c 6.png,bio606.png,I869,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio606.png,1,46,18,34,192,I869,0.7188,0.1504,bio606.png,1.613999726,3,869,5,61,5.6614,6.6944,8.1431,123,123
2017 Mohammed 10.1109/TVCG.2017.2744278 c 2.png,bio872.png,I923,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio872.png,1,33,35,12,221,I923,0.4853,0.0515,bio872.png,1.593624643,3,923,5,61,6.3151,6.8672,11.1438,177,177
2014 Kretschmer 10.1109/TVCG.2014.2346405 c 1.png,bio686.png,I884,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio686.png,1,31,24,18,219,I884,0.5636,0.0759,bio686.png,1.593305335,3,884,6,78,4.2905,6.1559,9.7372,138,138
2013 Köhler 10.1109/TVCG.2013.189 c 3.png,bio603.png,I867,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio603.png,1,37,23,22,202,I867,0.6167,0.0982,bio603.png,1.588701415,3,867,1,61,6.0435,7.0225,8.3034,121,121
2009 Kindlmann 10.1109/TVCG.2009.177 c 1.png,bio242.png,I794,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio242.png,1,22,45,5,229,I794,0.3284,0.0214,bio242.png,1.58132092,3,794,3,64,6.2834,5.7692,11.7911,48,48
2011 Suter 10.1109/TVCG.2011.214 c 3.png,bio502.png,I846,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio502.png,1,22,41,6,233,I846,0.3492,0.0251,bio502.png,1.570774638,3,846,4,61,4.5921,6.8218,10.1538,100,100
2008 Krüger 10.1109/TVCG.2008.161 c 10.png,bio69.png,I761,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio69.png,1,21,52,4,236,I761,0.2877,0.0167,bio69.png,1.567125307,3,761,2,61,2.0854,6.695,6.6423,15,15
2012 Ip 10.1109/TVCG.2012.231 c 2.png,bio529.png,I853,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio529.png,1,45,32,21,216,I853,0.5844,0.0886,bio529.png,1.562589321,3,853,0,63,3.101,5.1415,6.9226,107,107
2014 Kretschmer 10.1109/TVCG.2014.2346405 c 6.png,bio691.png,I885,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio691.png,1,23,32,9,225,I885,0.4182,0.0385,bio691.png,1.561863957,3,885,1,61,4.0797,5.7595,8.7841,139,139
2009 Bruckner 10.1109/TVCG.2009.121 c 2.png,bio158.png,I773,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio158.png,1,28,41,9,241,I773,0.4058,0.036,bio158.png,1.560755671,3,773,3,61,3.0473,5.8574,7.7745,27,27
2011 Koehler 10.1109/TVCG.2011.260 c 13.png,bio445.png,I835,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio445.png,1,36,23,24,215,I835,0.6102,0.1004,bio445.png,1.559116003,3,835,3,61,3.7465,2.7779,4.7473,89,89
2015 Lawonn 10.1109/TVCG.2015.2467961 c 9.png,bio747.png,I897,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio747.png,1,29,29,14,217,I897,0.5,0.0606,bio747.png,1.549756381,3,897,0,63,4.7552,4.6461,7.851,151,151
2013 Köhler 10.1109/TVCG.2013.189 c 2.png,bio602.png,I866,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio602.png,1,42,19,33,194,I866,0.6885,0.1454,bio602.png,1.547971294,3,866,1,61,4.5266,6.2892,5.5405,120,120
2009 Jeong 10.1109/TVCG.2009.178 c 6.png,bio228.png,I787,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio228.png,1,29,28,15,215,I787,0.5088,0.0652,bio228.png,1.534586525,3,787,1,61,5.1556,6.6213,11.7329,41,41
2011 Zou 10.1109/TVCG.2011.171 c 2.png,bio505.png,I847,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio505.png,1,27,31,13,231,I847,0.4655,0.0533,bio505.png,1.527078757,3,847,0,61,3.8232,5.7122,4.9858,101,101
2012 Ip 10.1109/TVCG.2012.231 c 5.png,bio532.png,I854,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio532.png,1,30,39,11,231,I854,0.4348,0.0455,bio532.png,1.525979546,3,854,3,61,2.6215,5.838,4.3645,108,108
2015 Marino 10.1109/TVCG.2015.2467413 c 12.png,bio751.png,I899,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio751.png,1,28,33,13,237,I899,0.459,0.052,bio751.png,1.522810042,3,899,0,70,4.1151,2.8149,5.7303,153,153
2009 Keefe 10.1109/TVCG.2009.152 c 3.png,bio240.png,I792,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio240.png,1,38,23,28,209,I792,0.623,0.1181,bio240.png,1.497907851,3,792,2,61,3.5529,5.0188,8.0497,46,46
2009 Brecheisen 10.1109/TVCG.2009.170 c 2.png,bio152.png,I772,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio152.png,1,28,42,10,232,I772,0.4,0.0413,bio152.png,1.482448397,3,772,0,66,3.1667,7.4794,6.0858,26,26
2009 Kindlmann 10.1109/TVCG.2009.177 c 7.png,bio248.png,I796,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio248.png,1,23,45,7,229,I796,0.3382,0.0297,bio248.png,1.467840392,3,796,0,61,3.8826,4.4384,9.0808,50,50
2015 Abbasloo 10.1109/TVCG.2015.2467031 c 4.png,bio717.png,I890,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio717.png,1,30,37,13,219,I890,0.4478,0.056,bio717.png,1.458045945,3,890,1,61,1.3908,5.0064,4.7663,144,144
2011 Dick 10.1109/TVCG.2011.189 c 8.png,bio416.png,I831,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio416.png,1,38,29,24,218,I831,0.5672,0.0992,bio416.png,1.4553734,3,831,2,61,3.7545,4.3314,5.7124,85,85
2014 Berge 10.1109/TVCG.2014.2346317 c 3.png,bio645.png,I876,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio645.png,1,36,23,26,189,I876,0.6102,0.1209,bio645.png,1.450339879,3,876,0,61,2.933,5.1765,6.8511,130,130
2009 Smelyanskiy 10.1109/TVCG.2009.164 c 3.png,bio260.png,I799,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio260.png,1,30,31,17,221,I799,0.4918,0.0714,bio260.png,1.444887542,3,799,0,61,1.7242,5.1701,10.5982,53,53
2013 Ehlke 10.1109/TVCG.2013.159 c 5.png,bio575.png,I862,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio575.png,1,38,21,32,193,I862,0.6441,0.1422,bio575.png,1.439927065,3,862,0,64,2.1128,4.585,4.0015,116,116
2008 Joshi 10.1109/TVCG.2008.123 c 10.png,bio42.png,I757,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio42.png,1,15,26,8,205,I757,0.3659,0.0376,bio42.png,1.436510466,3,757,0,61,1.9294,7.1744,5.1875,11,11
2011 Ruiz 10.1109/TVCG.2011.173 c 9.png,bio493.png,I844,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio493.png,1,42,25,32,204,I844,0.6269,0.1356,bio493.png,1.423957289,3,844,0,61,2.0975,6.456,3.8684,98,98
2009 Smelyanskiy 10.1109/TVCG.2009.164 c 4.png,bio261.png,I800,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio261.png,1,37,19,38,203,I800,0.6607,0.1577,bio261.png,1.418329942,3,800,0,61,1.8502,5.5254,9.9514,54,54
2010 Zhang 10.1109/TVCG.2010.221 c 7.png,bio394.png,I827,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio394.png,1,25,46,9,239,I827,0.3521,0.0363,bio394.png,1.415680088,3,827,0,61,2.7789,7.6024,9.748,81,81
2011 Dick 10.1109/TVCG.2011.189 c 2.png,bio410.png,I830,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio410.png,1,41,16,48,187,I830,0.7193,0.2043,bio410.png,1.407123125,3,830,0,61,4.3333,4.5046,5.5473,84,84
2012 Läthén 10.1109/TVCG.2012.203 c 1.png,bio537.png,I856,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio537.png,1,28,39,12,212,I856,0.4179,0.0536,bio537.png,1.403638251,3,856,0,61,3.2956,2.9314,4.0559,110,110
2010 Praßni 10.1109/TVCG.2010.208 c 7.png,bio347.png,I813,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio347.png,1,24,41,10,232,I813,0.3692,0.0413,bio347.png,1.401822589,3,813,0,61,3.4725,6.9141,5.9865,67,67
2011 Koehler 10.1109/TVCG.2011.260 c 8.png,bio458.png,I838,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio458.png,1,29,21,27,207,I838,0.58,0.1154,bio458.png,1.400194113,3,838,0,61,5.4008,5.2975,9.3996,92,92
2012 Läthén 10.1109/TVCG.2012.203 c 12.png,bio540.png,I857,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio540.png,1,26,35,14,232,I857,0.4262,0.0569,bio540.png,1.395284314,3,857,0,61,2.0118,6.2845,5.0587,111,111
2010 Praßni 10.1109/TVCG.2010.208 c 9.png,bio349.png,I814,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio349.png,1,33,26,25,207,I814,0.5593,0.1078,bio349.png,1.387507771,3,814,0,61,2.8712,6.5803,5.5528,68,68
2014 Lindow 10.1109/TVCG.2014.2346404 c 1.png,bio698.png,I886,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio698.png,1,31,26,26,225,I886,0.5439,0.1036,bio698.png,1.371566178,3,886,0,61,3.8466,5.0287,5.9458,140,140
2013 Kretschmer 10.1109/TVCG.2013.169 c 8.png,bio621.png,I871,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio621.png,1,27,33,16,222,I871,0.45,0.0672,bio621.png,1.371312743,3,871,0,61,3.0665,3.3494,8.9627,125,125
2010 Zeng 10.1109/TVCG.2010.200 c 6.png,bio384.png,I825,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio384.png,1,44,22,42,192,I825,0.6667,0.1795,bio384.png,1.348091217,3,825,0,61,1.4268,5.3118,7.8769,79,79
2009 Chen 10.1109/TVCG.2009.203 c 4.png,bio179.png,I778,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio179.png,1,31,31,22,218,I778,0.5,0.0917,bio179.png,1.33035905,3,778,0,61,2.3416,4.122,7.7833,32,32
2011 Khlebnikov 10.1109/TVCG.2011.184 c 3.png,bio440.png,I834,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio440.png,1,28,44,13,221,I834,0.3889,0.0556,bio440.png,1.310635407,3,834,0,61,1.5341,4.0435,3.7242,88,88
2017 Hadwiger 10.1109/TVCG.2017.2744238 c 5.png,bio829.png,I912,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio829.png,1,29,36,18,224,I912,0.4462,0.0744,bio829.png,1.30851511,3,912,0,61,2.0272,7.3183,4.9241,166,166
2015 Marino 10.1109/TVCG.2015.2467413 c 4.png,bio755.png,I900,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio755.png,1,51,21,56,191,I900,0.7083,0.2267,bio755.png,1.298183944,3,900,0,61,2.8537,1.8773,2.6507,154,154
2008 Meyer-Spradow 10.1109/TVCG.2008.136 c 8.png,bio104.png,I764,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio104.png,1,38,19,46,189,I764,0.6667,0.1957,bio104.png,1.287900196,3,764,0,61,4.6953,5.3371,7.0697,18,18
2014 Glaßer 10.1109/TVCG.2014.2346406 c 10.png,bio667.png,I880,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio667.png,1,33,32,23,200,I880,0.5077,0.1031,bio667.png,1.283385898,3,880,0,61,3.9102,7.0471,7.4905,134,134
2017 Bock 10.1109/TVCG.2017.2743980 c 1.png,bio812.png,I908,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio812.png,1,30,25,29,203,I908,0.5455,0.125,bio812.png,1.264649358,4,908,0,61,2.6399,4.7816,10.1478,162,162
2014 Lindow 10.1109/TVCG.2014.2346404 c 7.png,bio704.png,I888,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio704.png,1,37,32,27,197,I888,0.5362,0.1205,bio704.png,1.263355784,4,888,0,61,3.0463,5.0391,6.1243,142,142
2008 Hua 10.1109/TVCG.2008.134 c 3.png,bio40.png,I755,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio40.png,1,30,42,17,214,I755,0.4167,0.0736,bio40.png,1.239149864,4,755,0,61,2.87,5.7295,10.1686,9,9
2008 Joshi 10.1109/TVCG.2008.123 c 1.png,bio41.png,I756,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio41.png,1,43,29,39,203,I756,0.5972,0.1612,bio41.png,1.235644205,4,756,0,61,2.4196,5.6197,7.0575,10,10
2008 Caban 10.1109/TVCG.2008.169 c 8.png,bio18.png,I751,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio18.png,1,31,32,25,210,I751,0.4921,0.1064,bio18.png,1.226099366,4,751,0,61,1.9168,4.0394,10.7854,5,5
2017 Mohammed 10.1109/TVCG.2017.2744278 c 10.png,bio866.png,I922,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio866.png,1,31,40,20,219,I922,0.4366,0.0837,bio866.png,1.221011297,4,922,0,61,6.7854,5.5755,10.0341,176,176
2015 Oeltze-Jafra 10.1109/TVCG.2015.2467203 c 11.png,bio761.png,I901,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio761.png,1,19,44,10,229,I901,0.3016,0.0418,bio761.png,1.210365203,4,901,0,61,5.0858,7.3107,9.5476,155,155
2014 Hu 10.1109/TVCG.2014.2346457 c 6.png,bio683.png,I882,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio683.png,1,35,43,22,221,I882,0.4487,0.0905,bio683.png,1.208735894,4,882,0,61,2.284,5.8598,3.8932,136,136
2008 Tricoche 10.1109/TVCG.2008.148 c 3.png,bio135.png,I768,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio135.png,1,29,33,24,211,I768,0.4677,0.1021,bio135.png,1.18862343,4,768,0,61,3.0041,6.0893,9.2272,22,22
2012 Gurijala 10.1109/TVCG.2012.210 c 7.png,bio526.png,I852,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio526.png,1,20,32,17,216,I852,0.3846,0.073,bio526.png,1.160384867,4,852,0,61,1.7095,5.2492,8.1322,106,106
2008 Correa 10.1109/TVCG.2008.162 c 10.png,bio25.png,I753,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio25.png,1,26,23,31,188,I753,0.5306,0.1416,bio25.png,1.149936708,4,753,0,61,5.2631,6.1923,10.3847,7,7
2015 Lawonn 10.1109/TVCG.2015.2467961 c 2.png,bio740.png,I894,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio740.png,1,22,32,20,212,I894,0.4074,0.0862,bio740.png,1.130294326,4,894,0,61,3.2885,3.8691,6.0503,148,148
2009 Chen 10.1109/TVCG.2009.112 c 9.png,bio173.png,I776,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio173.png,1,35,19,56,190,I776,0.6481,0.2276,bio173.png,1.126969891,4,776,0,61,2.3275,5.0787,12.644,30,30
2009 Kindlmann 10.1109/TVCG.2009.177 c 5.png,bio246.png,I795,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio246.png,1,16,50,8,227,I795,0.2424,0.034,bio246.png,1.126403552,4,795,0,61,2.2677,7.0013,8.6552,49,49
2009 Ropinski 10.1109/TVCG.2009.169 c 1.png,bio253.png,I797,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio253.png,1,22,36,19,226,I797,0.3793,0.0776,bio253.png,1.114081988,4,797,0,61,1.9891,3.1337,4.3258,51,51
2009 Bruckner 10.1109/TVCG.2009.121 c 3.png,bio159.png,I774,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio159.png,1,23,33,22,217,I774,0.4107,0.0921,bio159.png,1.102189045,4,774,0,61,3.2813,6.3363,6.6155,28,28
2011 Zou 10.1109/TVCG.2011.171 c 4.png,bio506.png,I848,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio506.png,1,28,35,25,208,I848,0.4444,0.1073,bio506.png,1.101192764,4,848,0,0,3.6726,5.4663,6.0209,102,102
2017 Bock 10.1109/TVCG.2017.2743980 c 10.png,bio813.png,I909,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio813.png,1,31,26,38,198,I909,0.5439,0.161,bio813.png,1.100620303,4,909,0,0,2.0071,5.3223,11.6672,163,163
2008 Joshi 10.1109/TVCG.2008.150 c 8.png,bio66.png,I759,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio66.png,1,26,33,24,203,I759,0.4407,0.1057,bio66.png,1.100530357,4,759,0,0,1.5979,5.1841,6.9725,13,13
2015 Ai-Awami 10.1109/TVCG.2015.2467441 c 1.png,bio718.png,I891,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio718.png,1,24,47,16,224,I891,0.338,0.0667,bio718.png,1.082900539,4,891,0,0,4.2551,6.311,12.9809,145,145
2017 Bock 10.1109/TVCG.2017.2743980 c 6.png,bio821.png,I910,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio821.png,1,21,28,23,197,I910,0.4286,0.1045,bio821.png,1.076380344,4,910,0,0,2.3203,6.0836,12.0841,164,164
2009 Wan 10.1109/TVCG.2009.118 c 1.png,bio262.png,I801,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio262.png,1,32,35,29,196,I801,0.4776,0.1289,bio262.png,1.075428268,4,801,0,0,2.1662,6.6152,14.3098,55,55
2012 Läthén 10.1109/TVCG.2012.203 c 8.png,bio547.png,I858,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio547.png,1,19,40,15,221,I858,0.322,0.0636,bio547.png,1.063123578,4,858,0,0,5.9859,6.0194,11.9332,112,112
2011 Rieder 10.1109/TVCG.2011.207 c 2.png,bio480.png,I840,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio480.png,1,14,42,9,208,I840,0.25,0.0415,bio480.png,1.059048754,4,840,0,0,5.1652,5.0413,8.2277,94,94
2009 Dick 10.1109/TVCG.2009.184 c 8.png,bio213.png,I783,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio213.png,1,35,20,57,180,I783,0.6364,0.2405,bio213.png,1.053547665,4,783,0,0,1.3883,2.9347,5.2033,37,37
2011 Koehler 10.1109/TVCG.2011.260 c 14.png,bio446.png,I836,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio446.png,1,30,41,27,221,I836,0.4225,0.1089,bio446.png,1.036897235,4,836,0,0,3.4835,5.6455,9.3282,90,90
2009 Correa 10.1109/TVCG.2009.189 c 1.png,bio192.png,I781,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio192.png,1,20,38,19,226,I781,0.3448,0.0776,bio192.png,1.022003787,4,781,0,0,2.9298,5.7508,8.8794,35,35
2009 Jianu 10.1109/TVCG.2009.141 c 2.png,bio233.png,I791,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio233.png,1,37,33,42,194,I791,0.5286,0.178,bio233.png,0.994764912,4,791,0,0,2.9086,4.3094,10.4795,45,45
2008 Termeer 10.1109/TVCG.2008.180 c 4.png,bio131.png,I767,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio131.png,1,16,44,12,210,I767,0.2667,0.0541,bio131.png,0.983512194,4,767,0,0,3.9555,5.1764,6.4942,21,21
2008 Caban 10.1109/TVCG.2008.169 c 11.png,bio9.png,I748,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio9.png,1,20,41,18,212,I748,0.3279,0.0783,bio9.png,0.970880358,4,748,0,0,3.1598,6.2167,9.0412,2,2
2009 Demiralp 10.1109/TVCG.2009.125 c 8.png,bio205.png,I782,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio205.png,1,34,30,45,195,I782,0.5312,0.1875,bio205.png,0.965433255,4,782,0,0,4.6475,5.462,14.4455,36,36
2013 Auzinger 10.1109/TVCG.2013.215 c 4.png,bio563.png,I859,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio563.png,1,16,52,12,227,I859,0.2353,0.0502,bio563.png,0.921414363,4,859,0,0,2.9673,5.586,6.856,113,113
2017 Mindek 10.1109/TVCG.2017.2744518 c 1.png,bio852.png,I920,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio852.png,1,25,37,28,195,I920,0.4032,0.1256,bio852.png,0.902366676,4,920,0,0,3.9451,4.5555,5.8564,174,174
2014 Bista 10.1109/TVCG.2014.2346411 c 6.png,bio652.png,I877,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio652.png,1,24,32,33,197,I877,0.4286,0.1435,bio652.png,0.884786287,4,877,0,0,3.9463,5.9192,9.5512,131,131
2010 Guetat 10.1109/TVCG.2010.187 c 1.png,bio297.png,I805,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio297.png,1,19,40,20,198,I805,0.322,0.0917,bio297.png,0.868245648,4,805,0,0,4.662,4.4922,6.369,59,59
2009 Jeong 10.1109/TVCG.2009.178 c 9.png,bio231.png,I790,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio231.png,1,10,41,10,224,I790,0.1961,0.0427,bio231.png,0.864544034,4,790,0,0,2.3611,4.9265,7.858,44,44
2012 Gasteiger 10.1109/TVCG.2012.202 c 5.png,bio519.png,I850,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio519.png,1,16,39,18,209,I850,0.2909,0.0793,bio519.png,0.85903837,4,850,0,0,2.8899,7.6808,4.4521,104,104
2008 Caban 10.1109/TVCG.2008.169 c 7.png,bio17.png,I750,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio17.png,1,8,45,7,220,I750,0.1509,0.0308,bio17.png,0.836582958,4,750,0,0,2.4865,5.7177,8.8932,4,4
2008 Caban 10.1109/TVCG.2008.169 c 5.png,bio15.png,I749,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio15.png,1,20,51,20,225,I749,0.2817,0.0816,bio15.png,0.816590808,4,749,0,0,3.6131,6.0376,9.7112,3,3
2011 Gasteiger 10.1109/TVCG.2011.243 c 6.png,bio424.png,I832,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio424.png,1,25,35,39,194,I832,0.4167,0.1674,bio424.png,0.754147668,4,832,0,0,3.0024,7.4648,9.48,86,86
2010 Saad 10.1109/TVCG.2010.152 c 5.png,bio355.png,I818,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio355.png,1,16,53,16,213,I818,0.2319,0.0699,bio355.png,0.743932233,4,818,0,0,1.6129,3.2278,6.595,72,72
2015 Lawonn 10.1109/TVCG.2015.2467961 c 5.png,bio743.png,I895,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio743.png,1,22,43,30,206,I895,0.3385,0.1271,bio743.png,0.7236468,4,895,0,0,3.6659,4.6471,8.6649,149,149
2010 Saad 10.1109/TVCG.2010.152 c 10.png,bio350.png,I815,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio350.png,1,18,44,24,212,I815,0.2903,0.1017,bio350.png,0.71941583,4,815,0,0,1.5515,4.0171,5.9727,69,69
2016 Meuschke 10.1109/TVCG.2016.2598795 c 3.png,bio784.png,I904,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio784.png,1,14,42,26,207,I904,0.25,0.1116,bio784.png,0.543573336,4,904,0,0,2.579,3.2177,4.3621,158,158